"use","nlnet project","nlnet page","homepage listed on nlnet","GROUP repository url","repository url","packaging status (independent)","packaging status (nixpkgs)","subsystems","documentation","build system","SoN members","triage status","nixpkgs url","nixpkgs attr","primary contact","irc channel","matrix channel","entry reviewed","unofficial triage thread","issue tracker","forum","shortstring (""what am i looking at?"")","Note"
"n","LibreCellular","https://nlnet.nl/project/4G_FOSS/","https://librecellular.org","https://github.com/myriadrf?q=lc",,,,,,,,,,,,,,,,,,,
"y","AI-VPN","https://nlnet.nl/project/AI-VPN/","https://www.civilsphereproject.org/emergency-vpn",,"https://github.com/stratosphereips/AIVPN",,,,,,,,,,,,,,,,,,
"y","Accessible security","https://nlnet.nl/project/AccessibleSecurity/","https://insurgo.ca/",,"https://github.com/3mdeb/qubes-fwupd",,,,,,,,,,,,,,,,,,
"y","Autocrypt for Thunderbird","https://nlnet.nl/project/Autocrypt/","https://autocrypt.org",,"https://github.com/autocrypt-thunderbird/autocrypt-thunderbird",,,,,,,,,,,,,,,,,,
"y","BBBsecureChat","https://nlnet.nl/project/BBBsecureChat/","https://fairkom.eu",,"https://git.fairkom.net/chat/bbbsecurechat",,,,,,,,,,,,,,,,,,
"y","Balthazar","https://nlnet.nl/project/Balthazar/","https://balthazar.space/","https://github.com/balthazar-space",,,,,,,,,,,,,,,,,,,
"y","Balthazar - One laptop for the new internet age.","https://nlnet.nl/project/Balthazar-Prototype/","https://balthazar.space","https://github.com/balthazar-space",,,,,,,,,,,,,,,,,,,
"y","Betrusted OS","https://nlnet.nl/project/BetrustedOS/","https://betrusted.io",,"https://github.com/betrusted-io/xous-core",,,,,,,,,,,,,,,,,,
"y","Betrusted software","https://nlnet.nl/project/BetrustedSoftware/","https://github.com/betrusted-io/sigtxt","https://github.com/betrusted-io",,,,,,,,,,,,,,,,,,,
"y","Betrusted Storage","https://nlnet.nl/project/BetrustedStorage/","https://betrusted.io",,"https://github.com/betrusted-io/betrusted-hardware",,,,,,,,,,,,,,,,,,
"y","Briar","https://nlnet.nl/project/Briar/","https://briarproject.org/",,"https://code.briarproject.org/briar/briar",,,,,,,,,,,,,,,,,,
"y","LibrEDA","https://nlnet.nl/project/ChipDesignFramework/","https://libreda.org","https://codeberg.org/librEDA",,,,,,,,,,,,,,,,,,,
"y","Zerocat Chipflasher Flashrom Interface","https://nlnet.nl/project/Chipflasher/","http://www.zerocat.org/chipflasher.html",,"git://zerocat.org/zerocat/projects/chipflasher",,,,,,,,,,,,,,,,,,
"y","Chips4Makers ASICs","https://nlnet.nl/project/Chips4Makers/","https://chips4makers.io",,"https://gitlab.com/Chips4Makers/snowwhite",,,,,,,,,,,,,,,,,,
"y","Supersizing the Gun","https://nlnet.nl/project/Chipwhisperer-Supersize/","http://newae.com/tools/chipwhisperer/",,"https://github.com/newaetech/chipwhisperer",,,,,,,,,,,,,,,,,,
"y","Conversations","https://nlnet.nl/project/Conversations/","https://conversations.im",,"https://github.com/siacs/Conversations",,,,,,,,,,,,,,,,,,
"y","Libre-SOC, Coriolis2 ASIC Layout Collaboration","https://nlnet.nl/project/Coriolis2/","http://coriolis.lip6.fr",,"https://gitlab.lip6.fr/vlsi-eda/coriolis",,,,,,,,,,,,,,,,,,
"y","CryptPad: Project Dialogue","https://nlnet.nl/project/CryptPadForms/","https://cryptpad.fr",,"https://github.com/xwiki-labs/cryptpad",,,,,,,,,,,,,,,,,,
"y","CryptPad","https://nlnet.nl/project/Cryptpad/","https://cryptpad.fr",,"https://github.com/xwiki-labs/cryptpad",,,,,,,,,,,,,,,,,,
"y","CryptPad for communities","https://nlnet.nl/project/Cryptpad-Communities/","https://cryptpad.fr",,"https://repology.org/project/cryptpad",,,,,,,,,,,,,,,,,,
"y","GNU Guix - Cuirass","https://nlnet.nl/project/Cuirass/","https://guix.gnu.org/en/cuirass/",,"https://git.savannah.gnu.org/cgit/guix/guix-cuirass.git",,,,,,,,,,,,,,,,,,
"y","DCnets","https://nlnet.nl/project/DCnets/","https://dcnets.readthedocs.io",,"https://gitlab.uni.lu/cfranck/dcnets",,,,,,,,,,,,,,,,,,
"y","Dat Private Network","https://nlnet.nl/project/Dat-Private/","https://dat.foundation",,"https://github.com/datproject/dat",,,,,,,,,,,,,,,,,,
"n","Structuring the System Layer with Dataspaces","https://nlnet.nl/project/Dataspaces/",,,,,,,,,,,,,,,,,,,,,
"y","Dino","https://nlnet.nl/project/Dino/","https://dino.im",,"https://github.com/dino/dino",,,,,,,,,,,,,,,,,,
"y","Distributed Private Trust","https://nlnet.nl/project/DistributedTrust/",,,"https://github.com/degregat/deep-opt-auctions",,,,,,,,,,,,,,,,,,
"y","EEZ DIB","https://nlnet.nl/project/EEZ-DIB/","https://www.envox.hr/eez/eez-bench-box-3/introduction.html",,"https://github.com/eez-open/modular-psu",,,,,,,,,,,,,,,,,,
"y","EGIL SCIM client","https://nlnet.nl/project/EGIL-SCIM/","https://www.skolfederation.se/egil-scimclient-esc/",,"https://github.com/Sambruk/EgilSCIM",,,,,,,,,,,,,,,,,,
"y","Edalize ASIC backend","https://nlnet.nl/project/Edalize-ASIC/","https://github.com/olofk/edalize",,"https://github.com/olofk/edalize",,,,,,,,,,,,,,,,,,
"y","Thunderbird - native EteSync integration using TbSync","https://nlnet.nl/project/EteSync-Thunderbird/","https://addons.thunderbird.net/addon/tbsync/",,"https://github.com/jobisoft/TbSync",,,,,,,,,,,,,,,,,,
"y","Etebase (EteSync) - protocol and encryption scheme enhancements","https://nlnet.nl/project/EteSyncEnhancements/","https://etebase.com",,"https://github.com/etesync/etebase-docs",,,,,,,,,,,,,,,,,,
"y","EteSync - iOS application","https://nlnet.nl/project/Etesync-iOS/","https://www.etesync.com",,"https://github.com/etesync/ios",,,,,,,,,,,,,,,,,,
"y","Tracking the Trackers","https://nlnet.nl/project/F-Droid-Trackers/","https://f-droid.org/en/2017/12/14/new-collaborations-on-exposing-tracking.html",,"https://gitlab.com/groups/trackingthetrackers",,,,,,,,,,,,,,,,,,
"n","FemtoStar Project","https://nlnet.nl/project/FemtoStar/","https://femtostar.com",,,,,,,,,,,,,,"https://matrix.to/#/!COEHOXujBzfAHAVzPG:matrix.org",,,,,,
"y","Fractal","https://nlnet.nl/project/Fractal/","https://gitlab.gnome.org/GNOME/fractal",,"https://gitlab.gnome.org/GNOME/fractal",,,,,,,,,,,,,,,,,,
"y","Fix the Pitch Black Attack in Freenet friend-to-friend routing","https://nlnet.nl/project/Freenet-Routing/","https://www.freenetproject.org","https://github.com/freenet/",,,,,,,,,,,,,,,,,,,
"y","GNU Mes","https://nlnet.nl/project/GNUMes/","https://www.gnu.org/software/mes/",,"http://savannah.gnu.org/projects/mes/",,,,,,,,,,,,,,,,,,
"y","GNU Mes on ARM","https://nlnet.nl/project/GNUMes-arm/","https://www.gnu.org/software/mes/manual/mes.html",,"https://git.savannah.gnu.org/cgit/mes.git",,,,,,,,,,,,,,,,,,
"y","GNU Mes: Full Source bootstrap","https://nlnet.nl/project/GNUMes-fullsource/","https://www.gnu.org/software/mes",,"https://git.savannah.gnu.org/cgit/mes.git",,,,,,,,,,,,,,,,,,
"y","GNU Taler","https://nlnet.nl/project/GNUTaler/","https://taler.net/","https://git.taler.net/",,,,,,,,,,,,,,,,,,,
"y","GPG Lacre project","https://nlnet.nl/project/GPGLacre/","https://lacre.io",,"https://git.disroot.org/Disroot/gpg-lacre",,,,,,,,,,,,,,,,,,
"y","Genodepkgs","https://nlnet.nl/project/Genodepkgs/","https://git.sr.ht/~ehmry/genodepkgs",,"https://git.sr.ht/~ehmry/genodepkgs",,,,,,,,,,,,,,,,,,
"y","GoatCounter","https://nlnet.nl/project/GoatCounter/","https://www.goatcounter.com",,"https://github.com/zgoat/goatcounter",,,,,,,,,,,,,,,,,,
"y","Implement sound support in the Hurd","https://nlnet.nl/project/Hurd-Audio/","http://hurd.gnu.org",,"http://git.savannah.gnu.org/cgit/hurd",,,,,,,,,,,,,,,,,,
"y","A proof of concept of identity-based encryption","https://nlnet.nl/project/IBE/","https://privacybydesign.foundation/en",,"https://github.com/Wassasin/irmaseal",,,,,,,,,,,,,,,,,,
"y","IMSI Pseudonymization","https://nlnet.nl/project/IMSI-pseudonymisation/","https://osmocom.org/",,"https://gerrit.osmocom.org/plugins/gitiles/imsi-pseudo",,,,,,,,,,,,,,,,,,
"y","IRMA made easy","https://nlnet.nl/project/IRMA-made-easy/","https://irma.app",,"https://github.com/privacybydesign/irma_mobile",,,,,,,,,,,,,,,,,,
"y","YunoHost and the Internet Cube","https://nlnet.nl/project/InternetCube/",,,"https://github.com/YunoHost/yunohost",,,,,,,,,,,,,,,,,,
"y","JavaScript Restrictor","https://nlnet.nl/project/JSRestrictor/","https://polcak.github.io/jsrestrictor/",,"https://github.com/polcak/jsrestrictor",,,,,,,,,,,,,,,,,,
"n","JavaScript Shield","https://nlnet.nl/project/JavascriptShield/",,,,,,,,,,,,,,,,,,,,,
"y","End-To-End Encryption for Jitsi Meet","https://nlnet.nl/project/JitsiMeet-E2E/","https://jitsi.org/jitsi-meet/",,"https://github.com/jitsi/jitsi-meet",,,,,,,,,,,,,,,,,,
"y","Verified Differential Privacy for Julia","https://nlnet.nl/project/Julia-DifferentialPrivacy/","https://github.com/DiffMu/DiffPrivacyInference.jl",,"https://github.com/DiffMu/DiffPrivacyInference.jl",,,,,,,,,,,,,,,,,,
"y","Kaidan","https://nlnet.nl/project/Kaidan/","https://kaidan.im",,"https://invent.kde.org/network/kaidan",,,,,,,,,,,,,,,,,,
"y","Adopt improvements in Email Encryption in KMail","https://nlnet.nl/project/Kmail-Encryption/","https://kontact.kde.org/components/kmail.html",,"https://invent.kde.org/pim/kmail",,,,,,,,,,,,,,,,,,
"y","ARPA2 LDAP Middleware","https://nlnet.nl/project/LDAPmiddleware/","http://arpa2.net/",,"https://gitlab.com/arpa2/steamworks",,,,,,,,,,,,,,,,,,
"n","Langsec in Pectore","https://nlnet.nl/project/LangsecInPectore/",,,,,,,,,,,,,,,,,,,,,
"y","Liberaforms","https://nlnet.nl/project/Liberaforms/","https://liberaforms.org",,"https://gitlab.com/liberaforms/liberaforms",,,,,,,,,,,,,,,,,,
"y","Libre-SOC","https://nlnet.nl/project/Libre-RISCV/","https://libre-riscv.org/nlnet_2018","https://git.libre-soc.org/",,,,,,,,,,,,,,,,,,,
"y","LibreSilicon","https://nlnet.nl/project/LibreSilicon/","https://libresilicon.com/",,"https://github.com/leviathanch/libresiliconprocess",,,,,,,,,,,,,,,,,,
"y","Libre Silicon compiler","https://nlnet.nl/project/LibreSilicon-compiler/","https://libresilicon.com",,"https://github.com/foshardware/lsc",,,,,,,,,,,,,,,,,,
"y","Standard Cell Library","https://nlnet.nl/project/LibreSiliconStandardCellLibrary/","https://github.com/chipforge/StdCellLib",,"https://github.com/chipforge/StdCellLib",,,,,,,,,,,,,,,,,,
"y","Port of AMDVLK/RADV 3D Driver to the Libre-SOC","https://nlnet.nl/project/LibreSoC-3Ddriver/","https://libre-riscv.org/nlnet_2019_amdvlk_port","https://git.libre-soc.org/",,,,,,,,,,,,,,,,,,,
"y","Libre-SOC Formal Correctness Proofs","https://nlnet.nl/project/LibreSoC-Proofs/","https://libre-riscv.org/nlnet_2019_formal","https://git.libre-soc.org/",,,,,,,,,,,,,,,,,,,
"y","Libre-SOC Formal Standards Development","https://nlnet.nl/project/LibreSoC-Standards/","https://libre-riscv.org/nlnet_2019_standards","https://git.libre-soc.org/",,,,,,,,,,,,,,,,,,,
"y","Libre-SOC Video Acceleration","https://nlnet.nl/project/LibreSoC-Video/","https://libre-riscv.org/nlnet_2019_video","https://git.libre-soc.org/",,,,,,,,,,,,,,,,,,,
"y","Lightmeter","https://nlnet.nl/project/Lightmeter/","https://lightmeter.io",,"https://gitlab.com/lightmeter",,,,,,,,,,,,,,,,,,
"y","Improve usability of Linux firewall userspace tools","https://nlnet.nl/project/LinuxFirewall/","https://www.netfilter.org","http://git.netfilter.org/",,,,,,,,,,,,,,,,,,,
"y","LumoSQL","https://nlnet.nl/project/LumoSQL/","https://lumosql.org",,"https://lumosql.org/src/lumosql",,,,,,,,,,,,,,,,,,
"y","Luna","https://nlnet.nl/project/Luna/","https://www.asicsforthemasses.com/",,"http://www.github.com/asicsforthemasses",,,,,,,,,,,,,,,,,,
"y","Distributed Trust for Web Servers","https://nlnet.nl/project/M-PIN/",,"https://github.com/apache?q=milagro",,,,,,,,,,,,,,,,,,,
"y","MNT Reform","https://nlnet.nl/project/MNT-Reform/","https://mntre.com",,"https://source.mntmn.com/MNT/reform",,,,,,,,,,,,,,,,,,
"y","Maemo Leste","https://nlnet.nl/project/MaemoLeste/","https://maemo-leste.github.io","https://github.com/maemo-leste",,,,,,,,,,,,,,,,,,,
"y","Manyverse","https://nlnet.nl/project/Manyverse/","https://www.manyver.se/",,"https://gitlab.com/staltz/manyverse",,,,,,,,,,,,,,,,,,
