"use","nlnet project","nlnet page","homepage listed on nlnet","GROUP repository url","repository url","packaging status (independent)","packaging status (nixpkgs)","subsystems","documentation","build system","SoN members","triage status","nixpkgs url","nixpkgs attr","primary contact","irc channel","matrix channel","entry reviewed","unofficial triage thread","issue tracker","forum","shortstring (""what am i looking at?"")","Note"
"y","OCCRP Aleph disambiguation","https://nlnet.nl/project/Aleph/","https://aleph.occrp.org/",,"https://github.com/alephdata/aleph",,,,,,,,,,,,,,,,,,
"y","Babelia","https://nlnet.nl/project/Babelia/","https://github.com/amirouche/babelia",,"https://github.com/amirouche/babelia",,,,,,,,,,,,,,,,,,
"y","Blink RELOAD","https://nlnet.nl/project/BlinkRELOAD/","http://icanblink.com",,"https://github.com/AGProjects/blink-qt",,,,,,,,,,,,,,,,,,
"y","Bonfire Search &amp; Discovery","https://nlnet.nl/project/Bonfire/","https://bonfire.cafe","https://github.com/bonfire-networks",,,,,,,,,,,,,,,,,,,
"y","Castopod","https://nlnet.nl/project/Castopod/","https://castopod.org/",,"https://code.podlibre.org/podlibre/castopod/",,,,,,,,,,,,,,,,,,
"y","Castopod Mobile","https://nlnet.nl/project/CastopodMobile/","http://podlibre.org/","https://code.podlibre.org/explore",,,,,,,,,,,,,,,,,,,
"y","Discover and move your coins by yourself","https://nlnet.nl/project/CoinDiscovery/","https://peersm.com/wallet",,"https://github.com/Ayms/bitcoin-transactions",,,,,,,,,,,,,,,,,,
"y","Connect by Name","https://nlnet.nl/project/ConnectByName/","https://getdnsapi.net/","https://github.com/getdnsapi",,,,,,,,,,,,,,,,,,,
"y","Record Federation for Corteza Clouds","https://nlnet.nl/project/CortezaActivityPub/","https://cortezaproject.org","https://github.com/cortezaproject",,,,,,,,,,,,,,,,,,,
"y","Corteza Discovery","https://nlnet.nl/project/CortezaDiscovery/","https://cortezaproject.org","https://github.com/cortezaproject",,,,,,,,,,,,,,,,,,,
"y","ArtistHub","https://nlnet.nl/project/CreativePassport/","https://www.creativepassport.net/",,"https://github.com/creative-passport/artist-hub",,,,,,,,,,,,,,,,,,
"n","Redash","https://nlnet.nl/project/Dasher/",,,,,,,,,,,,,,,,,,,,,
"y","DeltaBot","https://nlnet.nl/project/DeltaBot/","https://bots.delta.chat/",,"https://github.com/deltachat-bot/deltabot",,,,,,,,,,,,,,,,,,
"y","EDeA","https://nlnet.nl/project/ElectronicsHub/","https://hub.automated.ee",,"https://gitlab.com/edea-dev/edea/",,,,,,,,,,,,,,,,,,
"y","AEAP","https://nlnet.nl/project/EmailPorting/","https://delta.chat","https://github.com/deltachat",,,,,,,,,,,,,,,,,,,
"n","Explain","https://nlnet.nl/project/Explain/","https://explain.direct",,,,,,,,,,,,,,,,,,,,
"y","FairSync","https://nlnet.nl/project/FairSync/","https://fairmove.it/fairsync/",,"https://git.fairkom.net/fairsync/maps",,,,,,,,,,,,,,,,,,
"y","searx","https://nlnet.nl/project/FedSearx/","https://searx.me/",,"https://github.com/searx/searx",,,,,,,,,,,,,,,,,,
